epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,284.395,3.33028,4.27613,4.20351,0.00036,0.095,0.00022,6e-05,3.43012,4.75148,4.17252,0.000651515,0.000651515,0.000651515
2,550.72,2.72989,2.88869,3.15047,0.00047,0.055,0.00026,0.0001,3.43747,4.50159,4.26409,0.00129208,0.00129208,0.00129208
3,816.585,2.1879,2.18852,2.55158,0.63818,0.49387,0.56949,0.30852,1.895,2.54695,2.6508,0.00190625,0.00190625,0.00190625
4,1074.5,1.86612,1.68951,2.25463,0.79166,0.835,0.85306,0.36076,2.07029,1.78575,2.82165,0.0018812,0.0018812,0.0018812
5,1330.68,1.71053,1.40731,2.04306,0.73602,0.83644,0.82494,0.34744,2.06901,2.21461,2.59988,0.0018416,0.0018416,0.0018416
6,1588.77,1.55779,1.28741,1.91974,0.95628,0.87486,0.92109,0.55922,1.53811,1.67826,2.23075,0.001802,0.001802,0.001802
7,1845.85,1.42944,1.0604,1.80778,0.94476,0.94059,0.97232,0.54634,1.5022,1.27152,2.09037,0.0017624,0.0017624,0.0017624
8,2101.35,1.41157,1.02384,1.78313,0.985,0.945,0.98321,0.61506,1.30353,1.10441,1.94804,0.0017228,0.0017228,0.0017228
9,2357.31,1.35133,0.95585,1.7179,0.97439,0.95125,0.98509,0.64376,1.26148,1.10169,1.89235,0.0016832,0.0016832,0.0016832
10,2613.69,1.33754,0.91633,1.66826,0.97927,0.94471,0.98387,0.65374,1.18307,1.00297,1.81423,0.0016436,0.0016436,0.0016436
11,2871.09,1.23042,0.80084,1.57327,0.97451,0.955,0.98145,0.66766,1.15623,0.97651,1.76083,0.001604,0.001604,0.001604
12,3126.61,1.27018,0.82361,1.61352,0.9904,0.96,0.99107,0.69853,1.15026,0.79268,1.78461,0.0015644,0.0015644,0.0015644
13,3382.31,1.20426,0.79421,1.56195,0.98977,0.96725,0.9928,0.66654,1.1339,0.88829,1.72598,0.0015248,0.0015248,0.0015248
14,3636.27,1.16351,0.73535,1.52223,0.97202,0.96,0.98892,0.67954,1.15446,0.85603,1.72963,0.0014852,0.0014852,0.0014852
15,3893.63,1.20819,0.76294,1.56398,0.96089,0.9828,0.98629,0.65781,1.12864,0.79666,1.71889,0.0014456,0.0014456,0.0014456
16,4150.68,1.14741,0.71713,1.5082,0.96823,0.94,0.9822,0.64684,1.17819,0.88502,1.68085,0.001406,0.001406,0.001406
17,4406.06,1.14011,0.68271,1.45944,0.9875,0.97,0.99374,0.71119,1.06011,0.68425,1.60051,0.0013664,0.0013664,0.0013664
18,4661.45,1.11102,0.6686,1.44813,0.99147,0.995,0.9949,0.71712,1.05634,0.62118,1.60957,0.0013268,0.0013268,0.0013268
19,4955.33,1.0875,0.65705,1.42216,0.98101,0.985,0.99446,0.68878,1.08482,0.6577,1.59825,0.0012872,0.0012872,0.0012872
20,5227.09,1.09195,0.6164,1.41771,0.97494,0.99,0.99388,0.71208,1.05805,0.6275,1.56416,0.0012476,0.0012476,0.0012476
21,5478.44,1.13816,0.63634,1.46471,0.98483,0.97396,0.99401,0.6964,1.06292,0.64545,1.61246,0.001208,0.001208,0.001208
22,5694.85,1.06307,0.61129,1.41147,0.97521,0.98328,0.99405,0.72359,1.007,0.59901,1.52718,0.0011684,0.0011684,0.0011684
23,5898.11,1.04378,0.60939,1.39853,0.99445,0.99,0.9948,0.73256,0.96745,0.56605,1.50606,0.0011288,0.0011288,0.0011288
24,6096.66,1.04594,0.59609,1.40685,0.9849,0.97865,0.99379,0.73896,0.99023,0.58809,1.53065,0.0010892,0.0010892,0.0010892
25,6300.61,1.06038,0.5792,1.39944,0.99821,0.995,0.995,0.72756,0.94708,0.57336,1.50742,0.0010496,0.0010496,0.0010496
